店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
博多由布院・武雄温泉万葉の湯,050-5484-5661, ,福岡県,福岡市博多区豊,2-3-66, , , 
完全個室和食入母屋～別邸～ 銀座七丁目店,050-5484-1867, ,東京都,中央区銀座,7-9-20,銀座ライオンビル4F, , 
明月記 宝塚本店,050-5484-2087, ,兵庫県,宝塚市雲雀丘山手,2-10-11, , , 
赤坂いづみ,050-5488-1805, ,東京都,港区赤坂,6-11-11,乃なみビル, , 
日本料理大乃や,050-5484-8251, ,大阪府,大阪市中央区島町,1-3-5, , , 
三喰撰酒三重人 名駅店,050-5485-5135, ,愛知県,名古屋市中村区名駅,4-5-15,コスモス名駅east4F, , 
大森のやいてこちゃん,050-5485-4330, ,愛知県,名古屋市守山区大森,4-2610,ディアコート美濃喜ビル1F, , 
マルサ水産津島店,050-5489-0944, ,愛知県,津島市莪原町椋木,25-1, , , 
しゃぶしゃぶ・日本料理 木曽路津島店,050-5486-3029, ,愛知県,津島市莪原町字椋木,21, , , 
個室居酒屋八吉 八重洲仲通り本店,03-3272-8816, ,東京都,中央区日本橋,3-4-1,第二弥生ビル, , 
しゃぶしゃぶ日本料理木曽路 八尾店,050-5484-2945, ,大阪府,八尾市新家町,3-42-1, , , 
和食ダイニング柳月亭,050-5484-8447, ,福井県,福井市順化,2-6-14, , , 
魚菜家 小針店～さかなや～,050-5486-3517, ,新潟県,新潟市西区小針,6-33-21, , , 
焼鳥銀座井,050-5487-7429, ,東京都,中央区銀座,8-7-20,Belle銀座3ビルB1, , 
四季亭,050-5492-8289, ,茨城県,鹿嶋市宮中,6-5-15, , , 
しゃぶしゃぶ・日本料理 木曽路豊田店,050-5485-2648, ,愛知県,豊田市広路町,2-12, , , 
瀬戸寿司割烹安芸茶寮,050-5485-5801, ,広島県,広島市中区三川町,9-7, , , 
梅の花 西の丘店,050-5484-1419, ,福岡県,福岡市西区西の丘,2-1, , , 
かにしげ 佐賀大和店,050-5484-1417, ,佐賀県,佐賀市大和町尼寺,3761-1, , , 
太平記,050-5485-4346, ,鳥取県,米子市明治町,271,名島ビル1F, , 
鍛治屋文蔵 千駄ヶ谷店,050-5487-2447, ,東京都,渋谷区千駄ヶ谷,1-31-11,エクレール千駄ヶ谷2F, , 
浜焼き能登風土千里浜店,050-5489-5534, ,石川県,羽咋市千里浜町タ,4-1, , , 
月島名物もんじゃだるま 月島本店,050-5484-4819, ,東京都,中央区月島,3-17-9, , , 
寿司割烹寿司御殿 赤池本店,050-5484-9048, ,愛知県,日進市赤池,2-600-1, , , 
炉ばた焼櫓屋,050-5488-5850, ,大阪府,大阪市阿倍野区阿倍野筋,1-3-16, , , 
完全個室和食入母屋～別邸～ 銀座七丁目店,050-5484-1867, ,東京都,中央区銀座,7-9-20,銀座ライオンビル4F, , 
AYAMEKAN,050-5484-2355, ,奈良県,奈良市あやめ池北,1-34-17, , , 
いけす活魚料理海水園,050-5485-4879, ,滋賀県,彦根市西葛籠町西浦,341, , , 
梅の花 おおたかの森店,050-5485-7319, ,千葉県,流山市おおたかの森北,3-44-5, , , 
割烹蒲焼大観楼,050-5487-6076, ,宮城県,仙台市青葉区一番町,3-9-5, , , 
鈴のれん 畑江通店,050-5487-3553, ,愛知県,名古屋市中村区畑江通,9-32-1, , , 
割烹たま笹,050-5488-8605, ,北海道,札幌市中央区大通西,26-1-21,クリオ円山公園壱番館1F, , 
エビスモンジャ！,050-5484-1999, ,東京都,渋谷区恵比寿西,1-10-10,若葉西ビル2F, , 
すし・創作料理一幸 四街道店,050-5488-7857, ,千葉県,四街,, , , 
凡猿,050-5484-5474, ,静岡県,浜松市中区肴町,316-40,桝形ビルB1, , 
入船 伊東駅前店,050-5485-7049, ,静岡県,伊東市湯川,1-16-10, , , 
木曽路 鶴見寺尾店,050-5484-8293, ,神奈川県,横浜市鶴見区諏訪坂,5-20, , , 
目利きの銀次 お花茶屋駅前店,03-3603-9488, ,東京都,葛飾区お花茶屋,1-19-1,第2お花茶屋ビル2F, , 
蓮の庭,050-5488-4844, ,茨城県,稲敷郡阿見町大字実穀,1196-2, , , 
倉敷甲羅本店,050-5487-2119, ,岡山県,倉敷市東富井,866-1, , , 
もんじゃ・お好み焼わいず春日部店,050-5489-1348, ,埼玉県,春日部市大沼,7-1-1, , , 
焼鳥酒場本田商店 津田沼店,050-5484-1372, ,千葉県,船橋市前原西,2-13-25,第一暁ビル1F, , 
しゃぶとかに源氏総本店 向山店,0532-63-4444, ,愛知県,豊橋市向山町字川北,19-2, , , 
四季彩MIZUNO,050-5492-2782, ,長野県,長野市若里,6-2-20, , , 
かに道楽 枚方店,050-5485-8167, ,大阪府,枚方市出屋敷元町,2-3-7, , , 
梅の花 青葉台店（北九州）,050-5484-1410, ,福岡県,北九州市若松区青葉台南,2-17-105, , , 
名物うなぎ幸楽園,050-5486-4552, ,埼玉県,さいたま市南区太田窪,2235, , , 
和風居酒屋 あかり,050-5485-7209, ,岡山県,岡山市北区野田屋町,1-6-22, , , 
居酒BAR禅‐ZEN‐,050-5487-6579, ,栃木県,小山市駅東通り,1-12-10,1F, , 
全120品食べ飲み放題個室居酒屋 酒蔵季（TOKI）錦糸町本店,050-5486-3630, ,東京都,墨田区錦糸,3-2-1,アルカイーストB1, , 
